id;title;production;length;presentation;imdbLink
36;Egy lány elindul;1937;72;1937.12.23;https://www.imdb.com/title/tt0028821/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_egy%2520l%25C3%25A1ny%2520e
37;Egy szoknya, egy nadrág;1943;75;1943.04.21;https://www.imdb.com/title/tt0123289/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_egy%2520szoknya
38;Eladó birtok;1940;75;1941.01.03;https://www.imdb.com/title/tt0032435/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_elad%25C3%25B3%2520
39;Elkésett levél;1940;68;1941.03.20;https://www.imdb.com/title/tt0240479/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_elk%25C3%25A9sett%2520le
40;Az ellopott szerda;1933;73;1933.12.29;https://www.imdb.com/title/tt0144891/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_az%2520ellopott%2520s
41;Elnémult harangok;1940;91;1941.02.27;https://www.imdb.com/title/tt1930333/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_eln%25C3%25A9mult%2520ha
43;Erdélyi kastély;1940;71;1940.03.07;https://www.imdb.com/title/tt0032444/?ref_=nv_sr_srsg_0_tt_1_nm_7_in_0_q_erd%25C3%25A9lyi%2520ka
44;Erzsébet királyné;1940;89;1940.09.05;https://www.imdb.com/title/tt0032446/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_erzs%25C3%25A9bet%2520kir
45;Európa nem válaszol;1941;93;1941.03.19;https://www.imdb.com/title/tt0033580/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_eur%25C3%25B3pa%2520nem%2520v%25C3%25A1
46;Ez a villa eladó;1935;75;1935.04.10;https://www.imdb.com/title/tt0026329/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_ez%2520a%2520villa%2520el
47;Ez történt Budapesten;1944;84;1944.06.05;https://www.imdb.com/title/tt0035851/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_ez%2520t%25C3%25B6rt%25C3%25A9nt%2520buda
48;Édes ellenfél;1941;81;1941.05.22;https://www.imdb.com/title/tt0404569/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_%25C3%25A9des%2520ellen
49;Éjféli gyors;1942;66;1943.06.25;https://www.imdb.com/title/tt0159844/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_%25C3%25A9jf%25C3%25A9li%2520gyors
50;Éjfélre kiderül;1942;76;1942.08.13;https://www.imdb.com/title/tt0132648/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_%25C3%25A9jf%25C3%25A9lre%2520
51;Az éjszaka lánya;1942;77;1943.03.16;https://www.imdb.com/title/tt0035596/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_az%2520%25C3%25A9jszaka%2520l%25C3%25A1ny
52;Életre ítéltek!;1941;93;1941.11.17;https://www.imdb.com/title/tt0034418/?ref_=nv_sr_srsg_4_tt_5_nm_1_in_0_q_%25C3%25A9letre%2520%25C3%25ADt%25C3%25A9llek
53;Az én lányom nem olyan;1937;78;1937.11.14;https://www.imdb.com/title/tt0029825/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_az%2520%25C3%25A9n%2520l%25C3%25A1nyom%2520nem%2520olyan
54;És a vakok látnak;1943;81;1944.03.30;https://www.imdb.com/title/tt0243684/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_%25C3%25A9s%2520a%2520vakok%2520l%25C3%25A1tnak
55;Fekete gyémántok;1938;77;1938.04.14;https://www.imdb.com/title/tt0030125/?ref_=nv_sr_srsg_1_tt_5_nm_0_in_0_q_fekete%2520gy%25C3%25A9m%25C3%25A1ntok
56;Féltékenység;1943;68;1943.09.23;https://www.imdb.com/title/tt1177910/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_f%25C3%25A9lt%25C3%25A9kenys%25C3%25A9g
57;Fény és árnyék;1943;91;1943.12.22;https://www.imdb.com/title/tt0130722/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_f%25C3%25A9ny%2520%25C3%25A9s%2520
58;Férfihűség;1942;95;1942.10.23;https://www.imdb.com/title/tt0034763/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_f%25C3%25A9rfih%25C5%25B1s%25C3%25A9g
59;A férfi mind őrült;1937;83;1937.09.29;https://www.imdb.com/title/tt0028912/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_a%2520f%25C3%25A9rfi%2520mind%2520
60;Fizessen nagysád!;1937;65;1937.03.11;https://www.imdb.com/title/tt0028877/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_fizessen%2520nagys%25C3%25A1d
61;Fráter Lóránd;1942;62;1942.05.06;https://www.imdb.com/title/tt0034761/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_fr%25C3%25A1ter%2520l%25C3%25B3r%25C3%25A1nd
62;Fűszer és csemege;1940;74;1940.01.29;https://www.imdb.com/title/tt0031356/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_f%25C5%25B1szer%2520%25C3%25A9s%2520
63;Gentryfészek;1941;75;1942.09.11;https://www.imdb.com/title/tt0418701/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_gentryf%25C3%25A9szek
64;Gorodi fogoly;1940;62;1940.11.07;https://www.imdb.com/title/tt0457921/?ref_=nv_sr_srsg_1_tt_7_nm_1_in_0_q_gorodi%2520
65;Göre Gábor visszatér;1940;75;1940.03.13;https://www.imdb.com/title/tt0241512/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_g%25C3%25B6re%2520g%25C3%25A1bor%2520visszat%25C3%25A9r
66;Gül baba;1940;105;1940.04.11;https://www.imdb.com/title/tt0032562/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_g%25C3%25BCl%2520baba
67;Gyávaság;1942;;1942.12.29;https://www.imdb.com/title/tt0034822/?ref_=nv_sr_srsg_4_tt_7_nm_1_in_0_q_gy%25C3%25A1vas%25C3%25A1g
