id;title;production;length;presentation;imdbLink
153;Pista tekintetes úr;1942;73;1943.04.21;https://www.imdb.com/title/tt0035194/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_pista%2520tekintet
154;Pókháló;1936;73;1936.09.26;https://www.imdb.com/title/tt0028115/?ref_=nv_sr_srsg_5_tt_6_nm_2_in_0_q_p%25C3%25B3kh%25C3%25A1l%25C3%25B3
155;Ragaszkodom a szerelemhez;1943;78;1943.06.02;https://www.imdb.com/title/tt0036288/?ref_=nv_sr_srsg_1_tt_2_nm_0_in_0_q_ragaszkodom%2520a%2520szerelemhez
156;Repülő arany;1932;51;1932.12.04;https://www.imdb.com/title/tt0240858/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_rep%25C3%25BCl%25C5%2591%2520arany
157;Régi keringő;1941;88;1941.12.22;https://www.imdb.com/title/tt0034138/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_r%25C3%25A9gi%2520kering%25C5%2591
158;A régi nyár;1941;78;1942.07.09;https://www.imdb.com/title/tt0034139/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_a%2520r%25C3%25A9gi%2520ny%25C3%25A1r
159;Rozmaring;1938;78;1938.11.30;https://www.imdb.com/title/tt0030702/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_rozmaring
160;Rózsafabot;1940;73;1940.11.25;https://www.imdb.com/title/tt0033006/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_r%25C3%25B3zsafabot
161;Sárga kaszinó;1943;61;1944.05.18;https://www.imdb.com/title/tt0240956/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_s%25C3%25A1rga%2520kaszin%25C3%25B3
162;Sárga rózsa;1940;75;1941.03.25;https://www.imdb.com/title/tt0033126/?ref_=nv_sr_srsg_5_tt_5_nm_2_in_0_q_s%25C3%25A1rga%2520
163;Sári bíró;1943;68;1943.12.21;https://www.imdb.com/title/tt10222942/?ref_=nv_sr_srsg_6_tt_5_nm_3_in_0_q_s%25C3%25A1ri%2520b
164;Segítség, örököltem!;1937;71;1937.08.02;https://www.imdb.com/title/tt0029533/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_seg%25C3%25ADts%25C3%25A9g%2520%25C3%25B6r%25C3%25B6k%25C3%25B6ltem
165;Semmelweis;1939;86;1940.01.12;https://www.imdb.com/title/tt0033035/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_semmelweis
166;Sok hűhó Emmiért;1940;73;1940.10.17;https://www.imdb.com/title/tt0033073/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_sok%2520h%25C5%25B1h%25C3%25B3%2520h
168;Süt a nap;1938;74;1939.02.02;https://www.imdb.com/title/tt0031992/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_s%25C3%25BCt%2520a%2520nap
169;Szabotázs;1942;82;1942.06.18;https://www.imdb.com/title/tt0439841/?ref_=nv_sr_srsg_6_tt_7_nm_1_in_0_q_szabot%25C3%25A1zs
170;A 111-es;1937;81;1937.10.28;https://www.imdb.com/title/tt0028545/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_A%2520111-es
171;Szent Péter esernyője;1935;66;1935.11.14;https://www.imdb.com/title/tt0027072/?ref_=nv_sr_srsg_2_tt_4_nm_0_in_0_q_szent%2520p%25C3%25A9ter%2520eserny%25C5%2591je
172;Szenzáció!;1936;66;1936.10.22;https://www.imdb.com/title/tt0028336/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_szenz%25C3%25A1ci%25C3%25B3!%25201936
173;A szerelem nem szégyen;1940;80;1940.12.18;https://www.imdb.com/title/tt0033125/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520szerelem%2520nem%2520sz%25C3%25A9gyen
174;Szerelemből nősültem;1937;69;1937.12.23;https://www.imdb.com/title/tt0029631/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_szerelemb%25C5%2591l%2520n%25C5%2591s
175;Szeressük egymást;1940;77;1941.02.07;https://www.imdb.com/title/tt0900993/?ref_=nv_sr_srsg_1_tt_6_nm_0_in_0_q_szeress%25C3%25BCk%2520egy
176;Szervusz, Péter!;1939;83;1939.03.29;https://www.imdb.com/title/tt0032001/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_szervusz%2520
177;Sziámi macska;1943;87;1943.10.15;https://www.imdb.com/title/tt0036411/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_szii%25C3%25A1mi%2520macska
179;Szíriusz;1942;98;1942.09.05;https://www.imdb.com/title/tt0035410/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_sz%25C3%25ADriusz
180;Szováthy Éva;1943;79;;https://www.imdb.com/title/tt0036412/?ref_=nv_sr_srsg_0_tt_1_nm_1_in_0_q_szov%25C3%25A1thy%2520%25C3%25A9va
181;Szüts Mara házassága;1941;77;1941.12.19;https://www.imdb.com/title/tt0030827/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_Sz%25C3%25BCts
182;A szűz és a gödölye;1941;88;1941.11.07;https://www.imdb.com/title/tt0034256/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_a%2520sz%25C5%25B1z%2520%25C3%25A9s%2520a
183;Tavaszi szonáta;1942;74;1942.09.18;https://www.imdb.com/title/tt0170662/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_tavaszi%2520sz
184;Tengerparti randevú;1943;94;1944.01.26;https://www.imdb.com/title/tt0170667/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_tengerparti%2520ra
185;Tilos a szerelem;1943;69;1943.05.10;https://www.imdb.com/title/tt0240981/?ref_=nv_sr_srsg_4_tt_4_nm_0_in_0_q_tilos%2520a%2520szerelem
186;Tiszavirág;1938;82;1939.02.09;https://www.imdb.com/title/tt0240982/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_tiszavir%25C3%25A1g
188;Tizenhárom kislány mosolyog az égre;1938;52;1938.10.17;https://www.imdb.com/title/tt1429401/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tizenh%25C3%25A1rom%2520kisl%25C3%25A1ny
189;Tokaji aszu;1940;83;1941.02.14;https://www.imdb.com/title/tt0140626/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_tokaji%2520ast
190;Tomi, a megfagyott gyermek;1936;105;1936.12.09;https://www.imdb.com/title/tt0138600/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_tomi%2520a%2520meg
191;Toprini nász;1939;80;1939.05.04;https://www.imdb.com/title/tt0138139/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_Toprini%2520
192;Tóparti látomás;1940;94;1940.12.20;https://www.imdb.com/title/tt0033197/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_T%25C3%25B3parti%2520l%25C3%25A1tom%25C3%25A1s
193;A tökéletes család;1942;74;;https://www.imdb.com/title/tt0035484/?ref_=nv_sr_srsg_2_tt_5_nm_0_in_0_q_a%2520t%25C3%25B6k%25C3%25A9letes%2520csal%25C3%25A1d
194;Tökéletes férfi;1939;70;;https://www.imdb.com/title/tt0153392/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_t%25C3%25B6k%25C3%25A9letes%2520f%25C3%25A9r
195;Az új rokon;1934;83;1934.09.06;https://www.imdb.com/title/tt0032174/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520%25C3%25BAj%2520rokon
196;Az utolsó dal;1941;73;1942.02.09;https://www.imdb.com/title/tt0034349/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_az%2520utols%25C3%25B3%2520dal
197;Az utolsó Wereczkey;1939;59;1940.01.31;https://www.imdb.com/title/tt0149318/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_az%2520utols%25C3%25B3%2520We
198;Úrilány szobát keres;1937;82;1937.09.14;https://www.imdb.com/title/tt0029829/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_%25C3%25BAril%25C3%25A1ny%2520
199;Vadrózsa;1938;79;1939.03.09;https://www.imdb.com/title/tt0032087/?ref_=nv_sr_srsg_3_tt_6_nm_2_in_0_q_vadr%25C3%25B3zsa
200;Végre...;1941;70;1941.09.04;https://www.imdb.com/title/tt0034367/?ref_=nv_sr_srsg_7_tt_7_nm_0_in_0_q_v%25C3%25A9gre
201;A vén gazember;1932;93;1932.12.21;https://www.imdb.com/title/tt0130343/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_a%2520v%25C3%25A9n%2520gazember
203;Viki;1937;65;1937.11.09;https://www.imdb.com/title/tt0029735/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_viki%25201937
204;Vissza az úton;1940;69;1941.02.17;https://www.imdb.com/title/tt0458197/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_vissza%2520az%2520
205;Zárt tárgyalás;1940;85;1940.11.21;https://www.imdb.com/title/tt0033298/?ref_=nv_sr_srsg_7_tt_8_nm_0_in_0_q_z%25C3%25A1rt%2520t
206;Zenélő malom;1943;79;1944.11.11;https://www.imdb.com/title/tt0036557/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_zen%25C3%25A9l%25C5%2591%2520ma
301;120-as tempó;1937;71;1937.10.07;https://www.imdb.com/title/tt0159229/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_120-as
302;3:1 a szerelem javára;1937;84;1937.10.14;https://www.imdb.com/title/tt0028542/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_3%253A1%2520a%2520sz
303;A Benedek ház;1943;81;1944.02.17;https://www.imdb.com/title/tt0155537/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_a%2520benedek
304;A cigány;1941;68;1941.11.25;https://www.imdb.com/title/tt0241309/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520cig%25C3%25A1ny
305;A csúnya lány;1935;83;1935.09.27;https://www.imdb.com/title/tt0026250/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_a%2520cs%25C3%25BAnya
306;Fehér vonat;1943;84;1947.01.01;https://www.imdb.com/title/tt4659924/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_feh%25C3%25A9r%2520vo
308;A harapós férj;1937;80;1938.03.07;https://www.imdb.com/title/tt0028977/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_a%2520harap%25C3%25B3s%2520
309;A hegyek lánya;1942;78;1943.01.14;https://www.imdb.com/title/tt0034838/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520hegyek%2520l
310;A kegyelmes úr rokona;1941;76;1941.03.04;https://www.imdb.com/title/tt0885501/?ref_=nv_sr_srsg_2_tt_7_nm_0_in_0_q_a%2520kegyelmes
311;A kék bálvány;1931;73;1931.09.25;https://www.imdb.com/title/tt0024209/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_a%2520k%25C3%25A9k%2520b
312;A királyné huszárja;1935;78;1935.12.07;https://www.imdb.com/title/tt0026576/?ref_=nv_sr_srsg_7_tt_7_nm_0_in_0_q_a%2520kir%25C3%25A1lyn%25C3%25A9%2520
313;A látszat csal;1943;;;https://www.imdb.com/title/tt1221904/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_a%2520l%25C3%25A1tszat%2520c
314;Menekülő ember;1943;73;1943.10.12;https://www.imdb.com/title/tt0036153/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_menek%25C3%25BCl%25C5%2591%2520em
315;Néma kolostor;1941;95;1941.02.22;https://www.imdb.com/title/tt0239704/?ref_=nv_sr_srsg_0_tt_4_nm_3_in_0_q_n%25C3%25A9ma%2520kolos
316;Pepita kabát;1940;69;1940.11.21;https://www.imdb.com/title/tt0138699/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_pepita%2520ka
317;A piros bugyelláris;1938;98;1938.08.21;https://www.imdb.com/title/tt0030590/?ref_=nv_sr_srsg_2_tt_3_nm_0_in_0_q_a%2520piros%2520bugy
318;A pusztai királykisasszony;1938;80;1939.01.19;https://www.imdb.com/title/tt0164834/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_a%2520pusztai%2520kir%25C3%25A1l
319;A szép Pongrácné krinolinja;1931;;;https://www.imdb.com/title/tt4901496/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520sz%25C3%25A9p%2520p
320;A szív szava;1937;;1937.07.29;https://www.imdb.com/title/tt0029632/?ref_=nv_sr_srsg_0_tt_5_nm_0_in_0_q_a%2520sz%25C3%25ADv%2520szava
321;A varieté csillagai;1938;77;1939.03.30;https://www.imdb.com/title/tt0241026/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_a%2520variet%25C3%25A9%2520
322;Ágrólszakadt úrilány;1943;87;1943.12.27;https://www.imdb.com/title/tt0036562/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_%25C3%25A1gr%25C3%25B3lszakadt%2520%25C3%25BA
323;Álomsárkány;1939;84;1939.05.11;https://www.imdb.com/title/tt1058037/?ref_=nv_sr_srsg_7_tt_4_nm_4_in_0_q_%25C3%25A1loms%25C3%25A1r
324;Anyámasszony katonája;1943;90;1943.08.25;https://www.imdb.com/title/tt0926186/?ref_=nv_sr_srsg_1_tt_3_nm_0_in_0_q_any%25C3%25A1masszony%2520ka
325;Aranypáva;1943;85;1943.11.02;https://www.imdb.com/title/tt0035644/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_aranyp%25C3%25A1va
326;Asszonyszelídítő;1931;;;https://www.imdb.com/title/tt0241202/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_asszonysze
327;Az első;1944;80;1944.10.01;https://www.imdb.com/title/tt0036788/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520els%25C5%2591%25201944
328;Az ember néha téved;1937;74;1938.01.21;https://www.imdb.com/title/tt0028828/?ref_=nv_sr_srsg_0_tt_7_nm_0_in_0_q_az%2520ember%2520n%25C3%25A9ha%2520
329;Intéző úr;1941;;;https://www.imdb.com/title/tt1221891/?ref_=nv_sr_srsg_0_tt_3_nm_3_in_0_q_int%25C3%25A9z%25C5%2591%2520%25C3%25BAr
330;Az orvos titka;1930;77;1930.10.19;https://www.imdb.com/title/tt0211761/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520orvos%2520titka
331;Az ördög nem alszik;1941;85;1941.10.16;https://www.imdb.com/title/tt0034419/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520%25C3%25B6rd%25C3%25B6g%2520nem%2520alszi
332;Az új földesúr;1935;99;1935.12.21;https://www.imdb.com/title/tt0242180/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_az%2520%25C3%25BAj%2520f%25C3%25B6ldes
334;Barátságos arcot kérek!;1935;71;1936.02.04;https://www.imdb.com/title/tt0026100/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_bar%25C3%25A1ts%25C3%25A1gos%2520arcot
335;Beszállásolás;1938;82;1938.11.02;https://www.imdb.com/title/tt0029909/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_besz%25C3%25A1ll%25C3%25A1sol%25C3%25A1s
337;Boldog idők;1943;91;1943.12.31;https://www.imdb.com/title/tt0035688/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_boldog%2520id
338;Bors István;1938;99;1939.02.23;https://www.imdb.com/title/tt0031114/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_bors%2520ist
339;Budai cukrászda;1935;84;1935.11.30;https://www.imdb.com/title/tt0027405/?ref_=nv_sr_srsg_0_tt_1_nm_1_in_0_q_budai%2520cukr%25C3%25A1sz
340;Búzavirág;1934;81;;https://www.imdb.com/title/tt0024940/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_b%25C3%25BAzavir
341;Cifra nyomorúság;1938;75;1938.09.30;https://www.imdb.com/title/tt0024940/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_b%25C3%25BAzavir
342;Csak egy kislány van a világon;1929;65;1930.05.12;https://www.imdb.com/title/tt0241331/?ref_=nv_sr_srsg_0_tt_7_nm_0_in_0_q_csak%2520egy%2520kisl%25C3%25A1
343;Családi pótlék;1937;62;1937.12.09;https://www.imdb.com/title/tt0028750/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_csal%25C3%25A1di%2520p
344;Családunk szégyene;1942;83;1943.02.11;https://www.imdb.com/title/tt0034623/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_csal%25C3%25A1dunk%2520sz%25C3%25A9gyene
345;Édes a bosszú;1937;73;1937.09.16;https://www.imdb.com/title/tt0029824/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A9des%2520bossz%25C3%25BA
346;Édes mostoha;1935;82;1935.10.15;https://www.imdb.com/title/tt0027243/?ref_=nv_sr_srsg_2_tt_2_nm_6_in_0_q_%25C3%25A9des%2520mo
347;Egér a palotában;1942;67;1943.06.30;https://www.imdb.com/title/tt0240476/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_eg%25C3%25A9r%2520a%2520palot%25C3%25A1ban
348;Egy bolond százat csinál;1942;80;1943.05.01;https://www.imdb.com/title/tt0034695/?ref_=nv_sr_srsg_0_tt_7_nm_0_in_0_q_egy%2520bolond%2520sz%25C3%25A1
349;Egy fiúnak a fele;1944;85;;https://www.imdb.com/title/tt0408782/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_egy%2520fi%25C3%25BAnak%2520a%2520fe
350;Egy gép nem tért vissza;1943;77;1944.07.01;https://www.imdb.com/title/tt0243237/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_egy%2520g%25C3%25A9p%2520nem%2520t%25C3%25A9rt
351;Egy nap a világ;1943;81;;https://www.imdb.com/title/tt0035837/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_egy%2520nap%2520a%2520vil
352;Egy pofon, egy csók;1944;67;;https://www.imdb.com/title/tt0127532/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_egy%2520pofon%2520egy
353;Egy szív megáll;1942;79;1942.12.22;https://www.imdb.com/title/tt0034696/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_egy%2520sz%25C3%25ADv%2520
354;Egy tál lencse;1941;82;1941.04.10;https://www.imdb.com/title/tt0033570/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_egy%2520t%25C3%25A1l%2520le
355;Éjféli keringő;1944;;;https://www.imdb.com/title/tt4664410/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A9jf%25C3%25A9li%2520ke
356;Éjjeli zene;1943;83;1943.11.09;https://www.imdb.com/title/tt0036565/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A9jjeli%2520ze
357;Elcserélt ember;1938;70;1938.03.25;https://www.imdb.com/title/tt0123054/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_elcser%25C3%25A9lt%2520ember
358;Elnökkisasszony;1935;85;1935.11.25;https://www.imdb.com/title/tt0026311/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_eln%25C3%25B6kkisasszony
359;Ember a híd alatt;1936;73;1936.04.02;https://www.imdb.com/title/tt0027570/?ref_=nv_sr_srsg_1_tt_4_nm_0_in_0_q_ember%2520a%2520h%25C3%25ADd%2520alatt
360;Emmy;1934;69;1934.12.21;https://www.imdb.com/title/tt0025082/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_emmy%25201934
361;Enyém vagy;1942;93;1942.11.11;https://www.imdb.com/title/tt0034705/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_eny%25C3%25A9m%2520vagy
362;Érik a búzakalász;1938;87;1939.04.20;https://www.imdb.com/title/tt0242168/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_erik%2520a%2520b%25C3%25BAzakal%25C3%25A1sz
363;Estélyi ruha kötelező;1942;67;1942.08.14;https://www.imdb.com/title/tt1164578/?ref_=nv_sr_srsg_2_tt_6_nm_2_in_0_q_est%25C3%25A9lyi%2520r
364;Évforduló;1936;90;1936.12.25;https://www.imdb.com/title/tt0028537/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A9vfordu
365;A falu rossza;1937;96;1938.01.12;https://www.imdb.com/title/tt0028848/?ref_=nv_sr_srsg_0_tt_5_nm_0_in_0_q_a%2520falu%2520rossza
366;Fehérvári huszárok;1938;65;1939.02.03;https://www.imdb.com/title/tt0030124/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_a%2520feh%25C3%25A9rv%25C3%25A1ri%2520
367;Fekete hajnal;1942;81;1943.09.01;https://www.imdb.com/title/tt0034727/?ref_=nv_sr_srsg_1_tt_2_nm_0_in_0_q_fekete%2520hajnal%25201942
368;Férjet keresek;1939;59;1940.02.05;https://www.imdb.com/title/tt0032502/?ref_=nv_sr_srsg_0_tt_6_nm_0_in_0_q_f%25C3%25A9rjet%2520keresek
369;Filléres gyors;1932;;1932.12.01;https://www.imdb.com/title/tt6046008/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_fill%25C3%25A9res%2520gyors
370;Fiú vagy lány ?;1944;91;;https://www.imdb.com/title/tt0143250/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_fi%25C3%25BA%2520vagy%2520l%25C3%25A1ny
371;Forog az idegen;1936;;1936.07.03;https://www.imdb.com/title/tt0027637/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_forog%2520az%2520idegen
372;Földindulás;1939;92;1940.01.28;https://www.imdb.com/title/tt0031355/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_f%25C3%25B6ldindul%25C3%25A1s
373;Futóhomok;1943;87;;https://www.imdb.com/title/tt0241463/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_fut%25C3%25B3homok
374;Futótűz;1943;77;1944.04.30;https://www.imdb.com/title/tt0881254/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_fut%25C3%25B3t%25C5%25B1z
378;Garszonlakás kiadó;1939;68;1940.01.18;https://www.imdb.com/title/tt0123858/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_garszonla
379;Gazdátlan asszony;1944;75;;https://www.imdb.com/title/tt0036856/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_gazd%25C3%25A1tlan%2520
380;Gyanú;1944;69;1944.10.01;https://www.imdb.com/title/tt1292020/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_gyan%25C3%25BA
381;Halálos csók;1942;90;1942.10.15;https://www.imdb.com/title/tt0034827/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_hal%25C3%25A1los%2520cs%25C3%25B3k
382;Haláltánc;1941;83;1942.02.24;https://www.imdb.com/title/tt0240564/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_hal%25C3%25A1lt%25C3%25A1nc
383;Halló, Budapest;1935;70;1935.10.15;https://www.imdb.com/title/tt5889938/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_hall%25C3%25B3%2520budapest
384;Három csengő;1941;78;1941.08.14;https://www.imdb.com/title/tt0033734/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_h%25C3%25A1rom%2520cs
385;A három galamb;1944;77;;https://www.imdb.com/title/tt0127593/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_h%25C3%25A1rom%2520ga
386;Három sárkány;1936;69;1936.10.29;https://www.imdb.com/title/tt0027771/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_h%25C3%25A1rom%2520s%25C3%25A1rk%25C3%25A1ny
387;Háry János;1941;81;1941.09.25;https://www.imdb.com/title/tt0033735/?ref_=nv_sr_srsg_2_tt_5_nm_0_in_0_q_h%25C3%25A1ry%2520j%25C3%25A1nos%2520194
388;Havasi napsütés;1941;92;1941.05.21;https://www.imdb.com/title/tt0033695/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_havasi%2520naps%25C3%25BCt%25C3%25A9s
389;Házassággal kezdődik;1943;74;1943.03.21;https://www.imdb.com/title/tt0482050/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_h%25C3%25A1zass%25C3%25A1gga
390;Helyet az öregeknek;1934;69;1934.11.29;https://www.imdb.com/title/tt0145817/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_helyet%2520a
391;Heten, mint a gonoszok;1942;86;1943.05.13;https://www.imdb.com/title/tt0156605/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_heten%2520mint%2520a%2520gonoszak
392;Hol alszunk vasárnap?;1937;60;;https://www.imdb.com/title/tt0963986/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_hol%2520alszunk
394;Hölgyek előnyben;1939;92;1939.11.04;https://www.imdb.com/title/tt0240600/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_h%25C3%25B6lgyek%2520el%25C5%2591nyben
395;Hyppolit, a lakáj;1931;72;1931.11.27;https://www.imdb.com/title/tt0021985/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_hyppolit
396;Idegen utakon;1944;88;1944.06.01;https://www.imdb.com/title/tt0240605/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_idegen%2520utakon
398;Isten rabjai;1942;89;1942.09.18;https://www.imdb.com/title/tt0240622/?ref_=nv_sr_srsg_2_tt_3_nm_3_in_0_q_isten%2520ra
399;Isten tenyerén;1939;81;1940.04.05;https://www.imdb.com/title/tt1057922/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_isten%2520teny
400;Iza néni;1933;97;;https://www.imdb.com/title/tt0025319/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_iza%2520n%25C3%25A9ni
401;Jöjjön elsején;1940;80;1940.03.20;https://www.imdb.com/title/tt0032657/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_j%25C3%25B6jj%25C3%25B6n%2520else
402;Kacagó asszony;1930;;1930.12.04;https://www.imdb.com/title/tt0826562/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_kacag%25C3%25B3%2520asszo
403;Késő;1943;83;1943.04.11;https://www.imdb.com/title/tt0036087/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_k%25C3%25A9s%25C5%2591
404;Két fogoly;1937;81;1938.01.06;https://www.imdb.com/title/tt0029098/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_k%25C3%25A9t%2520fogo
405;Kettesben;1943;70;1943.10.01;https://www.imdb.com/title/tt0036071/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_kettesben
406;Kísértetek vonata;1933;64;1933.04.12;https://www.imdb.com/title/tt0222125/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_k%25C3%25ADs%25C3%25A9rtetek%2520v
407;Legény a gáton;1943;77;1943.04.08;https://www.imdb.com/title/tt0170150/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_leg%25C3%25A9ny%2520a%2520g
408;Légy jó mindhalálig;1936;70;1936.03.17;https://www.imdb.com/title/tt0027920/?ref_=nv_sr_srsg_1_tt_7_nm_1_in_0_q_l%25C3%25A9gy%2520j%25C3%25B3%2520
409;Lejtőn;1943;61;1944.05.16;https://www.imdb.com/title/tt1177919/?ref_=nv_sr_srsg_8_tt_8_nm_0_in_0_q_lejt%25C5%2591n
